Event,TP,FP,FN,Precision,Recall,F-1
auxPerCloseBallot,2079,0,0,1.0,1.0,1.0
obl,18500,2800,200,0.8685446009389671,0.9893048128342246,0.925
outcome,591,0,0,1.0,1.0,1.0
per,300,100,0,0.75,1.0,0.8571428571428571
pow,2604228,25225,0,0.9904067499970526,1.0,0.9951802564963359
sanctioned,40891,118,20,0.9971225828476676,0.9995111339248612,0.9983154296875
status,2994,25,0,0.9917191122888374,1.0,0.9958423415932147
voted,493898,41129,1374,0.9231272440456276,0.9972257668513463,0.9587469268629787
Overall,3163481,69397,1594,0.9785339873635813,0.9994963784428489,0.9889041072980687
