Event,TP,FP,FN,Precision,Recall,F-1
auxPerCloseBallot,1722,22,66,0.9873853211009175,0.9630872483221476,0.9750849377123444
obl,12997,3300,5703,0.7975087439406026,0.6950267379679145,0.7427493785181587
outcome,286,0,11,1.0,0.9629629629629629,0.9811320754716981
per,300,1500,0,0.16666666666666666,1.0,0.2857142857142857
pow,2508060,64731,96168,0.9748401638531852,0.963072357719831,0.9689205312941676
sanctioned,39246,1177,1665,0.9708829131929841,0.9593018992447019,0.9650576634617748
status,2600,111,100,0.9590556990040575,0.9629629629629629,0.9610053594529662
voted,379556,77898,115716,0.8297140258911279,0.766358687751377,0.7967789269947498
Overall,2944767,148739,219429,0.9519189553858954,0.9306525259497199,0.941165622779736
