Event,TP,FP,FN,Precision,Recall,F-1
auxPerCloseBallot,2079,0,0,1.0,1.0,1.0
obl,18700,800,0,0.958974358974359,1.0,0.9790575916230366
outcome,591,0,0,1.0,1.0,1.0
per,300,0,0,1.0,1.0,1.0
pow,2604228,4036,0,0.9984526106253048,1.0,0.9992257062456882
sanctioned,40907,16,4,0.9996090218214696,0.9999022267849722,0.9997556028056799
status,2994,4,0,0.9986657771847899,1.0,0.999332443257677
voted,495140,6053,132,0.9879228161606407,0.9997334797848455,0.993793058461662
Overall,3164939,10909,136,0.996565011927523,0.9999570310340198,0.9982581400215709
