Event,TP,FP,FN,Precision,Recall,F-1
auxPerCloseBallot,2072,1,7,0.9995176073323685,0.9966329966329966,0.9980732177263969
obl,17900,2800,800,0.8647342995169082,0.9572192513368984,0.9086294416243654
outcome,589,0,2,1.0,0.9966159052453468,0.9983050847457626
per,300,200,0,0.6,1.0,0.7499999999999999
pow,2595497,8472,8731,0.996746505046719,0.996647374961025,0.996696937539037
sanctioned,40885,23,26,0.9994377627847854,0.9993644741023197,0.9994011170999401
status,2984,12,10,0.9959946595460614,0.9966599866399466,0.9963272120200334
voted,491400,15656,3872,0.9691237259789846,0.9921820736888013,0.9805173555961721
Overall,3151627,27164,13448,0.9914546127757377,0.9957511275404216,0.9935982254354047
