Event,TP,FP,FN,Precision,Recall,F-1
auxPerCloseBallot,2079,1,0,0.9995192307692308,1.0,0.9997595575859582
obl,18700,2800,0,0.8697674418604651,1.0,0.9303482587064676
outcome,591,0,0,1.0,1.0,1.0
per,300,200,0,0.6,1.0,0.7499999999999999
pow,2604228,8472,0,0.9967573774256516,1.0,0.9983760557937544
sanctioned,40909,23,2,0.999438092446008,0.9999511133924861,0.9996945371015236
status,2994,12,0,0.9960079840319361,1.0,0.9980000000000001
voted,494918,15542,354,0.9695529522391568,0.9992852412411766,0.9841945965724467
Overall,3164719,27050,356,0.9915250759061824,0.999887522412581,0.9956887411426173
