Event,TP,FP,FN,Precision,Recall,F-1
auxPerCloseBallot,1776,4,12,0.9977528089887641,0.9932885906040269,0.9955156950672646
obl,16300,2900,2400,0.8489583333333334,0.8716577540106952,0.8601583113456465
outcome,295,0,2,1.0,0.9932659932659933,0.9966216216216216
per,300,300,0,0.5,1.0,0.6666666666666666
pow,2586766,11999,17462,0.9953828068332458,0.9932947499220498,0.9943376821763934
sanctioned,40511,268,400,0.9934279898967606,0.9902226784972257,0.9918227445219734
status,2682,20,18,0.9925980754996299,0.9933333333333333,0.9929655683080341
voted,467872,19834,27400,0.9593320566078745,0.9446768644300506,0.9519480598751956
Overall,3116502,35325,47694,0.9887922148011297,0.9849269767106715,0.9868558110063882
