Event,TP,FP,FN,Precision,Recall,F-1
auxPerCloseBallot,2079,0,0,1.0,1.0,1.0
obl,18300,2800,400,0.8672985781990521,0.9786096256684492,0.9195979899497487
outcome,591,0,0,1.0,1.0,1.0
per,300,0,0,1.0,1.0,1.0
pow,2604228,26234,0,0.9900268469949385,1.0,0.9949884329349016
sanctioned,40831,56,80,0.9986303715117274,0.9980445356994452,0.9983373676618011
status,2994,26,0,0.9913907284768212,1.0,0.9956767542401065
voted,489662,26287,5610,0.9490511659098089,0.9886728908559337,0.9684569446243699
Overall,3158985,55403,6090,0.9827640595970368,0.9980758749792659,0.9903607874205086
