Event,TP,FP,FN,Precision,Recall,F-1
auxPerCloseBallot,2079,0,0,1.0,1.0,1.0
obl,18600,2800,100,0.8691588785046729,0.9946524064171123,0.9276807980049876
outcome,591,0,0,1.0,1.0,1.0
per,300,0,0,1.0,1.0,1.0
pow,2604228,26234,0,0.9900268469949385,1.0,0.9949884329349016
sanctioned,40898,56,13,0.9986326121990526,0.9996822370511599,0.999157148964759
status,2994,26,0,0.9913907284768212,1.0,0.9956767542401065
voted,494558,26093,714,0.9498838953540856,0.9985583679271188,0.9736131576901005
Overall,3164248,55209,827,0.9828514560064011,0.9997387107730464,0.9912231624808208
