Event,TP,FP,FN,Precision,Recall,F-1
auxPerCloseBallot,1776,4,12,0.9977528089887641,0.9932885906040269,0.9955156950672646
obl,17500,2400,1200,0.8793969849246231,0.9358288770053476,0.9067357512953367
outcome,295,0,2,1.0,0.9932659932659933,0.9966216216216216
per,300,300,0,0.5,1.0,0.6666666666666666
pow,2586766,11999,17462,0.9953828068332458,0.9932947499220498,0.9943376821763934
sanctioned,40693,142,218,0.9965225909146566,0.994671359780988,0.9955961147946077
status,2682,20,18,0.9925980754996299,0.9933333333333333,0.9929655683080341
voted,480532,14380,14740,0.9709443294969611,0.9702385759744141,0.97059132444071
Overall,3130544,29245,33652,0.9907446351639303,0.9893647549014031,0.9900542142335884
