Event,TP,FP,FN,Precision,Recall,F-1
auxPerCloseBallot,2079,0,0,1.0,1.0,1.0
obl,18500,800,200,0.9585492227979274,0.9893048128342246,0.9736842105263158
outcome,591,0,0,1.0,1.0,1.0
per,300,0,0,1.0,1.0,1.0
pow,2604228,4036,0,0.9984526106253048,1.0,0.9992257062456882
sanctioned,40891,16,20,0.9996088688977437,0.9995111339248612,0.99955999902222
status,2994,4,0,0.9986657771847899,1.0,0.999332443257677
voted,493932,6099,1340,0.9878027562291138,0.997294415997674,0.9925258941247038
Overall,3163515,10955,1560,0.9965490302318182,0.999507120684344,0.9980258835610443
