Event,TP,FP,FN,Precision,Recall,F-1
auxPerCloseBallot,2079,0,0,1.0,1.0,1.0
obl,18300,3300,400,0.8472222222222222,0.9786096256684492,0.9081885856079405
outcome,591,0,0,1.0,1.0,1.0
per,300,0,0,1.0,1.0,1.0
pow,2604228,279284,0,0.9031444987917512,1.0,0.949107647228185
sanctioned,40871,227,40,0.9944766168670008,0.9990222678497226,0.996744259776366
status,2994,284,0,0.9133618059792556,1.0,0.954719387755102
voted,492490,96565,2782,0.8360679393265484,0.994382884556365,0.9083791144184366
Overall,3161853,379660,3222,0.8927972310139762,0.9989820146442028,0.9429095689193969
