Event,TP,FP,FN,Precision,Recall,F-1
auxPerCloseBallot,2079,0,0,1.0,1.0,1.0
obl,17300,3300,1400,0.8398058252427184,0.9251336898395722,0.8804071246819339
outcome,591,0,0,1.0,1.0,1.0
per,300,0,0,1.0,1.0,1.0
pow,2604228,281302,0,0.9025128832484847,1.0,0.9487587613151617
sanctioned,40563,229,348,0.9943861541478721,0.9914937302925864,0.9929378358199822
status,2994,286,0,0.9128048780487805,1.0,0.9544150462225056
voted,472440,97382,22832,0.8291010175107314,0.9539000791484276,0.8871329666677307
Overall,3140495,382499,24580,0.8914278593718865,0.992233991295625,0.9391335525994123
